state,action,q_value
()_4_7_1,draw_deck_1,0.0
()_4_7_1,draw_deck_2,0.0
()_4_7_1,draw_deck_3,0.0
"('7',)_3_3_2",take_discard_1,0.010000000000000002
"('7',)_3_3_2",take_discard_2,0.0
"('7',)_3_3_2",take_discard_3,0.0
"('7',)_3_3_2",draw_deck_1,0.0
"('7',)_3_3_2",draw_deck_2,0.0
"('7',)_3_3_2",draw_deck_3,0.0
"('3', '7')_2_10_3",take_discard_2,0.010000000000000002
"('3', '7')_2_10_3",take_discard_3,0.0
"('3', '7')_2_10_3",draw_deck_2,0.0
"('3', '7')_2_10_3",draw_deck_3,0.0
"('10', '3', '7')_1_10_4",take_discard_3,0.010000000000000002
"('10', '3', '7')_1_10_4",draw_deck_3,0.0
"('5', 'J')_2_A_3",take_discard_0,0.010000000000000002
"('5', 'J')_2_A_3",take_discard_3,0.0
"('5', 'J')_2_A_3",draw_deck_0,0.0
"('5', 'J')_2_A_3",draw_deck_3,0.0
"('5', 'A', 'J')_1_7_4",take_discard_3,1.01
"('5', 'A', 'J')_1_7_4",draw_deck_3,0.0
"('J',)_3_5_2",take_discard_1,0.010000000000000002
"('2', 'A')_2_3_3",take_discard_0,0.010000000000000002
"('2', 'A')_2_3_3",take_discard_2,0.0
"('2', 'A')_2_3_3",draw_deck_0,0.0
"('2', 'A')_2_3_3",draw_deck_2,0.0
"('2', '3', 'A')_1_K_4",take_discard_2,1.01
"('2', '3', 'A')_1_K_4",draw_deck_2,0.0
"('A',)_3_5_2",draw_deck_3,0.010000000000000002
"('3',)_3_A_2",take_discard_1,0.010000000000000002
"('3',)_3_A_2",take_discard_2,0.0
"('3',)_3_A_2",take_discard_3,0.0
"('3',)_3_A_2",draw_deck_1,0.0
"('3',)_3_A_2",draw_deck_2,0.0
"('3',)_3_A_2",draw_deck_3,0.0
"('3', 'A')_2_Q_3",take_discard_2,0.010000000000000002
"('3', 'A')_2_Q_3",take_discard_3,0.0
"('3', 'A')_2_Q_3",draw_deck_2,0.0
"('3', 'A')_2_Q_3",draw_deck_3,0.0
"('3', 'A', 'Q')_1_4_4",take_discard_3,-0.49000000000000005
"('6',)_3_8_2",take_discard_1,0.010000000000000002
"('6',)_3_8_2",take_discard_2,0.0
"('6',)_3_8_2",take_discard_3,0.0
"('6',)_3_8_2",draw_deck_1,0.0
"('6',)_3_8_2",draw_deck_2,0.0
"('6',)_3_8_2",draw_deck_3,0.0
"('6', '8')_2_5_3",take_discard_2,0.010000000000000002
"('6', '8')_2_5_3",take_discard_3,0.0
"('6', '8')_2_5_3",draw_deck_2,0.0
"('6', '8')_2_5_3",draw_deck_3,0.0
"('5', '6', '8')_1_6_4",take_discard_3,1.01
"('5', '6', '8')_1_6_4",draw_deck_3,0.0
"('10',)_3_J_2",take_discard_1,0.010000000000000002
"('10',)_3_J_2",take_discard_2,0.0
"('10',)_3_J_2",take_discard_3,0.0
"('10',)_3_J_2",draw_deck_1,0.0
"('10',)_3_J_2",draw_deck_2,0.0
"('10',)_3_J_2",draw_deck_3,0.0
"('10', '5', 'J')_1_2_4",take_discard_2,1.01
"('10', '5', 'J')_1_2_4",draw_deck_2,0.0
"('10', 'J')_2_5_3",take_discard_3,0.010000000000000002
"('4', '5')_2_3_3",take_discard_1,0.010000000000000002
"('4', '5')_2_3_3",take_discard_2,0.010000000000000002
"('4', '5')_2_3_3",draw_deck_1,0.0
"('4', '5')_2_3_3",draw_deck_2,0.0
"('4', '5')_2_3_3",take_discard_3,0.0
"('4', '5')_2_3_3",draw_deck_3,0.0
"('3', '4', '5')_1_10_4",take_discard_2,1.01
