Running locally - Google Drive not available
======================================================================
PARALLEL CPU Q-LEARNING TRAINING
======================================================================
Workers: 1 (cpu_count=8)
Chunk size: 16
Games: 2000000 | opponent=ev_ai
Bootstrap: 1500000 | epsilon=0.2
n-step: 3 | replay_per_game: 4 (cap=2000) | visit beta=0.5
Q sharing: in-process (workers=1; no snapshot I/O)
Trajectories: append CSV
Human demos: 464 weighted steps / 43 holes (260 exact keys, source=supabase)
Loaded Q-table from C:\Users\kbwil\Documents\Data_Projects\golf\Golf_solver\backend\RL\output\qtable_train.csv
Trajectory resume index: last_game_num=249647
  Game 1808: BOOTSTRAP | Win rate=47.51%, Avg score=12.59, States=135918, Coverage=11.57% sparse=0.88, Epsilon=0.200, 64.9 games/s | replay=1808
  Game 1856: BOOTSTRAP | Win rate=47.47%, Avg score=12.57, States=135932, Coverage=11.57% sparse=0.88, Epsilon=0.200, 64.9 games/s | replay=1856
  Game 1904: BOOTSTRAP | Win rate=47.64%, Avg score=12.55, States=135941, Coverage=11.57% sparse=0.88, Epsilon=0.200, 65.0 games/s | replay=1904
  Game 1952: BOOTSTRAP | Win rate=47.75%, Avg score=12.50, States=135961, Coverage=11.58% sparse=0.88, Epsilon=0.200, 65.0 games/s | replay=1952
  Game 2000: BOOTSTRAP | Win rate=47.70%, Avg score=12.49, States=135980, Coverage=11.58% sparse=0.88, Epsilon=0.200, 65.0 games/s | replay=2000
  Game 2064: BOOTSTRAP | Win rate=47.72%, Avg score=12.50, States=135997, Coverage=11.59% sparse=0.88, Epsilon=0.200, 65.2 games/s | replay=2000
  Game 2112: BOOTSTRAP | Win rate=48.01%, Avg score=12.44, States=136012, Coverage=11.59% sparse=0.88, Epsilon=0.200, 65.3 games/s | replay=2000
  Game 2160: BOOTSTRAP | Win rate=48.33%, Avg score=12.39, States=136026, Coverage=11.59% sparse=0.88, Epsilon=0.200, 65.5 games/s | replay=2000
  Game 2208: BOOTSTRAP | Win rate=48.69%, Avg score=12.37, States=136040, Coverage=11.60% sparse=0.88, Epsilon=0.200, 65.3 games/s | replay=2000
  Game 2256: BOOTSTRAP | Win rate=48.54%, Avg score=12.39, States=136058, Coverage=11.60% sparse=0.88, Epsilon=0.200, 65.3 games/s | replay=2000
  Game 2304: BOOTSTRAP | Win rate=48.87%, Avg score=12.37, States=136076, Coverage=11.61% sparse=0.88, Epsilon=0.200, 65.4 games/s | replay=2000
  Game 2352: BOOTSTRAP | Win rate=48.89%, Avg score=12.38, States=136087, Coverage=11.61% sparse=0.88, Epsilon=0.200, 65.5 games/s | replay=2000
  Game 2400: BOOTSTRAP | Win rate=48.92%, Avg score=12.37, States=136105, Coverage=11.61% sparse=0.88, Epsilon=0.200, 65.5 games/s | replay=2000
  Game 2464: BOOTSTRAP | Win rate=48.90%, Avg score=12.38, States=136129, Coverage=11.62% sparse=0.88, Epsilon=0.200, 65.6 games/s | replay=2000
  Game 2512: BOOTSTRAP | Win rate=48.77%, Avg score=12.38, States=136146, Coverage=11.62% sparse=0.88, Epsilon=0.200, 65.8 games/s | replay=2000
  Game 2560: BOOTSTRAP | Win rate=48.63%, Avg score=12.38, States=136161, Coverage=11.63% sparse=0.88, Epsilon=0.200, 65.9 games/s | replay=2000
  Game 2608: BOOTSTRAP | Win rate=48.70%, Avg score=12.37, States=136175, Coverage=11.63% sparse=0.88, Epsilon=0.200, 66.1 games/s | replay=2000
  Game 2656: BOOTSTRAP | Win rate=48.80%, Avg score=12.36, States=136190, Coverage=11.64% sparse=0.88, Epsilon=0.200, 66.0 games/s | replay=2000
  Game 2704: BOOTSTRAP | Win rate=48.74%, Avg score=12.38, States=136205, Coverage=11.64% sparse=0.88, Epsilon=0.200, 66.1 games/s | replay=2000
  Game 2752: BOOTSTRAP | Win rate=48.80%, Avg score=12.39, States=136223, Coverage=11.65% sparse=0.88, Epsilon=0.200, 66.2 games/s | replay=2000
  Game 2800: BOOTSTRAP | Win rate=48.61%, Avg score=12.38, States=136240, Coverage=11.65% sparse=0.88, Epsilon=0.200, 66.4 games/s | replay=2000
  Game 2864: BOOTSTRAP | Win rate=48.74%, Avg score=12.36, States=136270, Coverage=11.66% sparse=0.88, Epsilon=0.200, 66.3 games/s | replay=2000
  Game 2912: BOOTSTRAP | Win rate=48.83%, Avg score=12.35, States=136295, Coverage=11.66% sparse=0.88, Epsilon=0.200, 66.4 games/s | replay=2000
  Game 2960: BOOTSTRAP | Win rate=48.72%, Avg score=12.39, States=136309, Coverage=11.67% sparse=0.88, Epsilon=0.200, 66.4 games/s | replay=2000
  Game 3008: BOOTSTRAP | Win rate=48.74%, Avg score=12.38, States=136326, Coverage=11.67% sparse=0.88, Epsilon=0.200, 66.5 games/s | replay=2000
  Game 3056: BOOTSTRAP | Win rate=48.89%, Avg score=12.40, States=136345, Coverage=11.68% sparse=0.88, Epsilon=0.200, 66.7 games/s | replay=2000
  Game 3104: BOOTSTRAP | Win rate=48.94%, Avg score=12.38, States=136357, Coverage=11.68% sparse=0.88, Epsilon=0.200, 66.8 games/s | replay=2000
  Game 3152: BOOTSTRAP | Win rate=48.79%, Avg score=12.39, States=136371, Coverage=11.68% sparse=0.88, Epsilon=0.200, 67.0 games/s | replay=2000
