state,action,q_value
"pub_('6', 'K')_priv_('4', 'K')_-6.5_9_3",draw_deck_3,0.010000000000000002
"pub_('6', 'K', 'Q')_priv_('K',)_-12.0_2_4",draw_deck_flip_2,1.01
"pub_('10',)_priv_('10', 'J')_-2.0_6_2",draw_deck_1,0.010000000000000002
"pub_()_priv_('10', 'J')_10.0_10_1",take_discard_0,0.010000000000000002
"pub_('10', '4')_priv_('10', 'J')_-10.5_K_3",draw_deck_2,0.019000000000000003
"pub_('10', '3', '4')_priv_('10',)_-16.0_6_4",draw_deck_flip_3,0.010000000000000002
"pub_()_priv_('8', 'A')_10.5_8_1",take_discard_0,0.019000000000000003
"pub_()_priv_('8', 'A')_10.5_8_1",take_discard_1,0.0
"pub_()_priv_('8', 'A')_10.5_8_1",take_discard_2,0.0
"pub_()_priv_('8', 'A')_10.5_8_1",take_discard_3,0.0
"pub_()_priv_('8', 'A')_10.5_8_1",draw_deck_0,0.0
"pub_()_priv_('8', 'A')_10.5_8_1",draw_deck_1,0.0
"pub_()_priv_('8', 'A')_10.5_8_1",draw_deck_2,0.0
"pub_()_priv_('8', 'A')_10.5_8_1",draw_deck_3,0.0
"pub_()_priv_('8', 'A')_10.5_8_1",draw_deck_flip_0,0.0
"pub_()_priv_('8', 'A')_10.5_8_1",draw_deck_flip_1,0.0
"pub_()_priv_('8', 'A')_10.5_8_1",draw_deck_flip_2,0.0
"pub_()_priv_('8', 'A')_10.5_8_1",draw_deck_flip_3,0.0
"pub_('7', '8')_priv_('8', 'A')_-3.5_4_3",draw_deck_2,0.010000000000000002
"pub_('7', '7', '8')_priv_('8',)_-18.0_Q_4",draw_deck_flip_3,1.01
"pub_('10',)_priv_('K', 'K')_-5.0_5_2",draw_deck_1,0.010000000000000002
"pub_()_priv_('K', 'K')_-5.0_6_1",draw_deck_0,0.010000000000000002
"pub_('10', '3')_priv_('K', 'K')_0.0_10_3",take_discard_2,0.010000000000000002
"pub_('10', '10', '3')_priv_('K',)_8.5_3_4",take_discard_3,1.01
"pub_('3',)_priv_('J', 'J')_-6.5_Q_2",draw_deck_1,0.010000000000000002
"pub_()_priv_('J', 'J')_-6.5_9_1",draw_deck_0,0.010000000000000002
"pub_('3', '9')_priv_('J', 'J')_-10.5_10_3",draw_deck_2,0.010000000000000002
"pub_('3', '4', '9')_priv_('J',)_-2.0_A_4",draw_deck_3,-0.49000000000000005
"pub_('A',)_priv_('J',)_-5.5_K_2",draw_deck_0,0.010000000000000002
"pub_()_priv_('6', 'J')_3.0_A_1",take_discard_3,0.019000000000000003
"pub_()_priv_('6', 'J')_3.0_A_1",take_discard_2,0.010000000000000002
"pub_('3', 'A')_priv_('J',)_-6.5_K_3",draw_deck_1,0.010000000000000002
"pub_('3', '7', 'A')_priv_('J',)_-2.5_2_4",draw_deck_2,1.01
"pub_('J',)_priv_('5',)_-8.0_K_2",draw_deck_0,0.010000000000000002
"pub_()_priv_('5', '6')_1.5_J_1",take_discard_3,0.019000000000000003
"pub_()_priv_('5', '6')_1.5_J_1",take_discard_0,0.0
"pub_()_priv_('5', '6')_1.5_J_1",take_discard_1,0.0
"pub_()_priv_('5', '6')_1.5_J_1",take_discard_2,0.0
"pub_()_priv_('5', '6')_1.5_J_1",draw_deck_0,0.0
"pub_()_priv_('5', '6')_1.5_J_1",draw_deck_1,0.0
"pub_()_priv_('5', '6')_1.5_J_1",draw_deck_2,0.0
"pub_()_priv_('5', '6')_1.5_J_1",draw_deck_3,0.0
"pub_()_priv_('5', '6')_1.5_J_1",draw_deck_flip_0,0.0
"pub_()_priv_('5', '6')_1.5_J_1",draw_deck_flip_1,0.0
"pub_()_priv_('5', '6')_1.5_J_1",draw_deck_flip_2,0.0
"pub_()_priv_('5', '6')_1.5_J_1",draw_deck_flip_3,0.0
"pub_('A', 'J')_priv_('5',)_-6.5_Q_3",draw_deck_1,0.027100000000000006
"pub_('7', 'A', 'J')_priv_('5',)_-5.0_8_4",draw_deck_2,-0.19
"pub_('5',)_priv_('9', 'A')_-6.5_8_2",draw_deck_1,0.010000000000000002
"pub_()_priv_('9', 'A')_0.0_2_1",draw_deck_0,0.027100000000000006
"pub_()_priv_('9', 'A')_0.0_2_1",take_discard_0,0.0
"pub_()_priv_('9', 'A')_0.0_2_1",take_discard_1,0.0
"pub_()_priv_('9', 'A')_0.0_2_1",take_discard_2,0.0
"pub_()_priv_('9', 'A')_0.0_2_1",take_discard_3,0.0
"pub_()_priv_('9', 'A')_0.0_2_1",draw_deck_1,0.0
"pub_()_priv_('9', 'A')_0.0_2_1",draw_deck_2,0.0
"pub_()_priv_('9', 'A')_0.0_2_1",draw_deck_3,0.0
"pub_()_priv_('9', 'A')_0.0_2_1",draw_deck_flip_0,0.0
"pub_()_priv_('9', 'A')_0.0_2_1",draw_deck_flip_1,0.0
"pub_()_priv_('9', 'A')_0.0_2_1",draw_deck_flip_2,0.0
"pub_()_priv_('9', 'A')_0.0_2_1",draw_deck_flip_3,0.0
"pub_('5', 'J')_priv_('9', 'A')_-6.0_K_3",draw_deck_3,0.010000000000000002
"pub_('5', 'A', 'J')_priv_('A',)_-11.5_Q_4",draw_deck_2,-0.19
"pub_('8',)_priv_('7',)_-1.5_4_2",draw_deck_3,0.010000000000000002
"pub_()_priv_('10', '7')_-6.5_Q_1",draw_deck_2,0.010000000000000002
"pub_()_priv_('10', '7')_-6.5_Q_1",draw_deck_3,0.010000000000000002
"pub_('8', 'Q')_priv_()_-0.5_2_3",draw_deck_0,0.010000000000000002
"pub_('8', 'A', 'Q')_priv_()_0.5_3_4",take_discard_1,1.01
"pub_('9',)_priv_('3', '9')_-4.5_8_2",draw_deck_0,0.010000000000000002
"pub_()_priv_('3', '9')_-12.5_7_1",draw_deck_flip_1,0.010000000000000002
"pub_()_priv_('3', '9')_-12.5_7_1",draw_deck_flip_0,0.010000000000000002
"pub_('10', '9')_priv_('3', '9')_-4.5_6_3",draw_deck_2,0.010000000000000002
"pub_('10', '7', '9')_priv_('9',)_-12.0_3_4",draw_deck_3,-0.49000000000000005
"pub_('A',)_priv_('8',)_-5.0_A_2",draw_deck_flip_0,0.010000000000000002
"pub_()_priv_('8', 'Q')_-5.5_A_1",draw_deck_2,0.019000000000000003
"pub_('8', 'A')_priv_('8',)_-4.5_9_3",draw_deck_1,0.010000000000000002
"pub_('8', '8', 'A')_priv_('8',)_-5.0_K_4",draw_deck_3,1.01
"pub_('2',)_priv_('8',)_-6.0_10_2",draw_deck_0,0.019000000000000003
"pub_('2',)_priv_('8',)_-6.0_10_2",take_discard_0,0.0
"pub_('2',)_priv_('8',)_-6.0_10_2",take_discard_1,0.0
"pub_('2',)_priv_('8',)_-6.0_10_2",take_discard_3,0.0
"pub_('2',)_priv_('8',)_-6.0_10_2",draw_deck_1,0.0
"pub_('2',)_priv_('8',)_-6.0_10_2",draw_deck_3,0.0
"pub_('2',)_priv_('8',)_-6.0_10_2",draw_deck_flip_0,0.0
"pub_('2',)_priv_('8',)_-6.0_10_2",draw_deck_flip_1,0.0
"pub_('2',)_priv_('8',)_-6.0_10_2",draw_deck_flip_3,0.0
"pub_()_priv_('8', 'Q')_1.5_2_1",take_discard_3,0.010000000000000002
"pub_('2', '4')_priv_('8',)_5.5_2_3",take_discard_2,0.010000000000000002
"pub_('2', '2', '4')_priv_()_-5.5_K_4",draw_deck_1,1.01
"pub_('Q',)_priv_('Q',)_-6.5_9_2",draw_deck_0,0.010000000000000002
