state_key,action_key,action,game,round
"pub_()_priv_('8', 'A')_-5.0_6_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",1,1
"pub_('6',)_priv_('8', 'A')_-8.5_9_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",1,2
"pub_('5', '6')_priv_('8', 'A')_-9.5_K_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",1,3
"pub_('5', '6', 'J')_priv_('A',)_-0.5_A_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",1,4
"pub_()_priv_('2', '9')_-8.0_8_1",draw_deck_flip_1,"{'type': 'draw_deck', 'keep': False, 'flip_position': 1}",2,1
"pub_('J',)_priv_('2', '9')_-6.0_8_2",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",2,2
"pub_('5', 'J')_priv_('2', '9')_0.5_A_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",2,3
"pub_('5', 'A', 'J')_priv_('2',)_-7.0_8_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",2,4
"pub_()_priv_('8', 'K')_1.5_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",3,1
"pub_('A',)_priv_('8', 'K')_-7.5_K_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",3,2
"pub_('A', 'Q')_priv_('8', 'K')_5.0_A_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",3,3
"pub_('A', 'A', 'Q')_priv_('K',)_-2.5_7_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",3,4
"pub_()_priv_('6', '9')_-1.5_6_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",4,1
"pub_('J',)_priv_('6', '9')_2.5_2_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",4,2
"pub_('2', 'J')_priv_('6', '9')_-6.0_K_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",4,3
"pub_('2', '2', 'J')_priv_('6',)_1.5_3_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",4,4
"pub_()_priv_('7', 'J')_-5.0_5_1",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",5,1
"pub_('J',)_priv_('7',)_2.5_2_2",take_discard_0,"{'type': 'take_discard', 'position': 0}",5,2
"pub_('2', 'J')_priv_('7',)_1.0_4_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",5,3
"pub_('2', '4', 'J')_priv_('7',)_6.5_2_4",take_discard_2,"{'type': 'take_discard', 'position': 2}",5,4
"pub_()_priv_('4', 'Q')_-7.5_Q_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",6,1
"pub_('8',)_priv_('4', 'Q')_-7.5_K_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",6,2
"pub_('2', '8')_priv_('4', 'Q')_-5.0_7_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",6,3
"pub_('2', '8', 'Q')_priv_('Q',)_-14.0_4_4",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",6,4
"pub_()_priv_('5', 'A')_-3.0_4_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",7,1
"pub_('7',)_priv_('5', 'A')_-1.5_2_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",7,2
"pub_('10', '7')_priv_('5', 'A')_-3.5_3_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",7,3
"pub_('10', '7', '7')_priv_('A',)_-5.0_5_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",7,4
"pub_()_priv_('4', '9')_-2.0_4_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",8,1
"pub_('6',)_priv_('4', '9')_-1.5_4_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",8,2
"pub_('6', '7')_priv_('4', '9')_8.0_6_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",8,3
"pub_('6', '6', '7')_priv_('4',)_-7.5_Q_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",8,4
"pub_()_priv_('3', '5')_-3.0_5_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",9,1
"pub_('10',)_priv_('3', '5')_-8.0_9_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",9,2
"pub_('10', 'Q')_priv_('3', '5')_-0.5_A_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",9,3
"pub_('10', 'Q', 'Q')_priv_('3',)_-3.5_5_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",9,4
"pub_()_priv_('A', 'A')_-6.0_7_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",10,1
"pub_('2',)_priv_('A', 'A')_-9.5_10_2",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",10,2
"pub_('2', '3')_priv_('A',)_-0.5_A_3",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",10,3
"pub_('2', '3', 'K')_priv_('A',)_-9.5_9_4",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",10,4
"pub_()_priv_('J', 'K')_-7.0_7_1",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",11,1
"pub_('J',)_priv_('K',)_2.5_J_2",take_discard_0,"{'type': 'take_discard', 'position': 0}",11,2
"pub_('J', 'J')_priv_('K',)_-4.5_Q_3",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",11,3
"pub_('A', 'J', 'J')_priv_('K',)_-3.0_9_4",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",11,4
"pub_()_priv_('10', '3')_-3.0_5_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",12,1
"pub_('7',)_priv_('10', '3')_0.0_2_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",12,2
"pub_('3', '7')_priv_('10', '3')_-13.5_Q_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",12,3
"pub_('3', '4', '7')_priv_('3',)_-5.5_2_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",12,4
"pub_()_priv_('10', '9')_-9.0_Q_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",13,1
"pub_('J',)_priv_('10', '9')_-6.5_9_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",13,2
"pub_('3', 'J')_priv_('10', '9')_-4.0_9_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",13,3
"pub_('3', '3', 'J')_priv_('10',)_-4.5_10_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",13,4
"pub_()_priv_('4', 'A')_-9.0_10_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",14,1
"pub_('J',)_priv_('4', 'A')_-8.0_9_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",14,2
"pub_('9', 'J')_priv_('4', 'A')_-3.5_4_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",14,3
"pub_('9', 'J', 'Q')_priv_('4',)_-8.5_10_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",14,4
"pub_()_priv_('10', '2')_1.0_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",15,1
"pub_('A',)_priv_('10', '2')_-2.5_4_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",15,2
"pub_('7', 'A')_priv_('10', '2')_8.0_7_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",15,3
"pub_('7', '7', 'A')_priv_('10',)_3.5_2_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",15,4
"pub_()_priv_('10', 'A')_-5.0_6_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",16,1
"pub_('4',)_priv_('10', 'A')_-9.5_K_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",16,2
"pub_('4', '8')_priv_('10', 'A')_-10.0_Q_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",16,3
