state,action,q_value,last_action
"pub_('2', 'J')_priv_('5', '9')_-6.0_10_3",draw_deck_2,0.010000000000000002,"g_84_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('4',)_priv_('2', 'A')_-8.5_9_2",draw_deck_1,0.010000000000000002,"g_85_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('2', 'A')_-2.0_3_1",draw_deck_0,0.010000000000000002,"g_85_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('4', '4')_priv_('2', 'A')_-8.0_9_3",draw_deck_2,0.010000000000000002,"g_85_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('7',)_priv_('6', '9')_-0.5_A_2",draw_deck_1,0.010000000000000002,"g_86_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('6', '9')_-9.0_10_1",draw_deck_0,0.010000000000000002,"g_86_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('7', '8')_priv_('6', '9')_-1.5_4_3",draw_deck_2,0.010000000000000002,"g_86_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('5', 'A')_-9.0_Q_2",draw_deck_1,0.010000000000000002,"g_87_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_('5', 'J')_priv_('5', 'A')_-14.0_9_3",draw_deck_flip_3,0.010000000000000002,"g_87_r_3: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('9',)_priv_('2', '8')_0.0_A_2",take_discard_1,0.010000000000000002,"g_88_r_2: {'type': 'take_discard', 'position': 1}"
"pub_()_priv_('2', '8')_-3.0_5_1",draw_deck_0,0.010000000000000002,"g_88_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('9', 'A')_priv_('2', '8')_-3.0_4_3",draw_deck_2,0.010000000000000002,"g_88_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('J',)_priv_('9', 'A')_-3.0_3_2",draw_deck_flip_1,0.010000000000000002,"g_89_r_2: {'type': 'draw_deck', 'keep': False, 'flip_position': 1}"
"pub_()_priv_('9', 'A')_0.0_J_1",take_discard_0,0.010000000000000002,"g_89_r_1: {'type': 'take_discard', 'position': 0}"
"pub_('J', 'J')_priv_('9', 'A')_1.0_J_3",take_discard_2,0.010000000000000002,"g_89_r_3: {'type': 'take_discard', 'position': 2}"
"pub_('J',)_priv_('A', 'K')_-7.0_8_2",draw_deck_1,0.010000000000000002,"g_90_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('A', 'K')_-3.0_4_1",draw_deck_0,0.010000000000000002,"g_90_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('4', 'J')_priv_('A', 'K')_-2.5_3_3",draw_deck_2,0.010000000000000002,"g_90_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('9',)_priv_('5', 'K')_-2.5_5_2",draw_deck_1,0.010000000000000002,"g_91_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('5', 'K')_-3.0_6_1",draw_deck_0,0.010000000000000002,"g_91_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('3', '9')_priv_('5', 'K')_-3.5_6_3",draw_deck_2,0.010000000000000002,"g_91_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('K',)_priv_('7', 'A')_-5.0_5_2",draw_deck_1,0.010000000000000002,"g_92_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('7', 'A')_-8.0_9_1",draw_deck_0,0.010000000000000002,"g_92_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_()_priv_('7', 'A')_-8.0_9_1",take_discard_0,0.010000000000000002,"g_418_r_1: {'type': 'take_discard', 'position': 0}"
"pub_('A', 'K')_priv_('7', 'A')_-6.5_5_3",draw_deck_2,0.010000000000000002,"g_92_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3',)_priv_('6', 'Q')_3.0_A_2",take_discard_1,0.010000000000000002,"g_93_r_2: {'type': 'take_discard', 'position': 1}"
"pub_()_priv_('6', 'Q')_-9.0_K_1",draw_deck_0,0.010000000000000002,"g_93_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('3', 'A')_priv_('6', 'Q')_-6.0_K_3",draw_deck_2,0.010000000000000002,"g_93_r_3: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('Q',)_priv_('2', '4')_-9.0_10_2",draw_deck_1,0.010000000000000002,"g_94_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
"pub_()_priv_('2', '4')_-1.0_3_1",draw_deck_0,0.010000000000000002,"g_94_r_1: {'type': 'draw_deck', 'position': 0, 'keep': True}"
"pub_('4', 'Q')_priv_('2', '4')_5.5_Q_3",take_discard_2,0.010000000000000002,"g_94_r_3: {'type': 'take_discard', 'position': 2}"
"pub_('10',)_priv_('8', 'K')_-3.5_7_2",draw_deck_1,0.010000000000000002,"g_95_r_2: {'type': 'draw_deck', 'position': 1, 'keep': True}"
