state,action,q_value,last_action
"pub_('A', 'A', 'J')_priv_('6',)_3.0_2_4",take_discard_3,1.01,"g_1_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('8', '9', '9')_priv_('K',)_12.5_8_4",take_discard_3,1.01,"g_2_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '3', '8')_priv_('10',)_0.0_10_4",take_discard_2,1.01,"g_3_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('4', 'A', 'J')_priv_('K',)_9.5_4_4",take_discard_3,1.01,"g_4_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', '9', 'J')_priv_('6',)_12.0_9_4",take_discard_3,1.01,"g_5_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('A', 'A', 'J')_priv_('6',)_-5.5_Q_4",draw_deck_3,1.01,"g_7_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('7', '7', 'Q')_priv_('8',)_-2.0_6_4",draw_deck_3,1.01,"g_8_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '3', '3')_priv_('8',)_-1.0_6_4",draw_deck_3,1.01,"g_10_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '4', 'Q')_priv_('3',)_-8.5_5_4",draw_deck_3,1.01,"g_11_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('4', 'J', 'J')_priv_('Q',)_-3.5_9_4",draw_deck_3,1.01,"g_12_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '4', 'J')_priv_('6',)_-6.5_Q_4",draw_deck_3,1.01,"g_13_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', '3', '5')_priv_('6',)_12.5_10_4",take_discard_3,1.01,"g_14_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', '9', 'J')_priv_('Q',)_4.5_J_4",take_discard_3,1.01,"g_18_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '2', '2')_priv_('9',)_4.5_A_4",take_discard_3,1.01,"g_19_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', '3', 'J')_priv_('2',)_-4.0_6_4",draw_deck_3,1.01,"g_20_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('4', '4', 'J')_priv_('2',)_-2.0_4_4",draw_deck_3,1.01,"g_21_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('4', '4', '6')_priv_('A',)_-2.5_3_4",draw_deck_3,1.01,"g_23_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '4', 'J')_priv_('7',)_-1.0_5_4",draw_deck_3,1.01,"g_24_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '8', 'J')_priv_('7',)_-5.5_9_4",draw_deck_3,1.01,"g_25_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '3', '9')_priv_('2',)_1.0_J_4",take_discard_3,1.01,"g_28_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', '7', 'A')_priv_('5',)_9.0_7_4",take_discard_3,1.01,"g_29_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', '3', 'J')_priv_('10',)_4.0_2_4",take_discard_2,1.01,"g_30_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('2', '5', 'J')_priv_('A',)_-3.5_4_4",draw_deck_3,1.01,"g_31_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', '9', '9')_priv_('2',)_-6.5_8_4",draw_deck_3,1.01,"g_32_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', 'A', 'K')_priv_('10',)_2.0_2_4",take_discard_3,1.01,"g_35_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('A', 'A', 'A')_priv_('5',)_-6.0_10_4",draw_deck_3,1.01,"g_36_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', '8', 'A')_priv_('5',)_-5.0_7_4",draw_deck_2,1.01,"g_38_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3', '7', 'K')_priv_('K',)_-14.0_4_4",draw_deck_flip_3,1.01,"g_40_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('5', '5', 'A')_priv_('Q',)_2.5_3_4",take_discard_3,1.01,"g_41_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', '5', 'Q')_priv_('6',)_-4.0_7_4",draw_deck_3,1.01,"g_43_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', '6', 'J')_priv_('8',)_3.5_2_4",take_discard_2,1.01,"g_44_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('A', 'J', 'K')_priv_('4',)_0.0_2_4",take_discard_3,1.01,"g_47_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('A', 'J', 'J')_priv_('A',)_-11.0_K_4",draw_deck_flip_3,1.01,"g_48_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('A', 'A', 'J')_priv_('7',)_4.0_A_4",take_discard_2,1.01,"g_49_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('2', 'K', 'K')_priv_('3',)_-3.0_5_4",draw_deck_2,1.01,"g_50_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('3', '6', 'J')_priv_('A',)_-4.0_4_4",draw_deck_3,1.01,"g_51_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', 'A', 'J')_priv_('4',)_2.5_J_4",take_discard_3,1.01,"g_52_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', 'A', 'J')_priv_('4',)_-7.5_K_4",draw_deck_3,1.01,"g_53_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '2', 'J')_priv_('A',)_-7.0_8_4",draw_deck_3,1.01,"g_54_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', '10', '4')_priv_('A',)_-9.5_Q_4",draw_deck_2,1.01,"g_55_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('2', 'J', 'J')_priv_('6',)_-6.0_Q_4",draw_deck_3,1.01,"g_56_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('7', 'J', 'J')_priv_('Q',)_-0.5_6_4",draw_deck_3,1.01,"g_57_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '4', '6')_priv_('Q',)_-4.0_8_4",draw_deck_3,1.01,"g_58_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('8', '9', 'A')_priv_('7',)_1.0_2_4",take_discard_3,1.01,"g_59_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', 'J', 'Q')_priv_('10',)_14.0_Q_4",take_discard_3,1.01,"g_60_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', 'Q', 'Q')_priv_('10',)_1.0_4_4",take_discard_3,1.01,"g_61_r_4: {'type': 'take_discard', 'position': 3}"
