state,action,q_value,last_action
"pub_('7', 'A', 'J')_priv_('Q',)_1.0_4_4",take_discard_2,1.01,"g_4_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('2', '9', 'J')_priv_('A',)_-7.0_7_4",draw_deck_3,1.01,"g_5_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', 'A', 'J')_priv_('9',)_-3.5_8_4",draw_deck_3,1.01,"g_6_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('9', 'J', 'J')_priv_('4',)_3.0_J_4",take_discard_2,1.01,"g_9_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('4', '9', '9')_priv_('2',)_-1.5_3_4",draw_deck_3,1.01,"g_10_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', 'J', 'J')_priv_('10',)_2.0_3_4",take_discard_2,1.01,"g_11_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('4', '5', '5')_priv_('8',)_-2.5_7_4",draw_deck_2,1.01,"g_13_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('2', '4', '8')_priv_('7',)_-4.0_7_4",draw_deck_2,1.01,"g_14_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('6', '9', 'J')_priv_('Q',)_-4.5_8_4",draw_deck_3,1.01,"g_15_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('5', '5', 'A')_priv_('K',)_-1.5_7_4",draw_deck_3,1.01,"g_16_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', 'A', 'J')_priv_('2',)_2.5_A_4",take_discard_3,1.01,"g_17_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '9', 'A')_priv_('8',)_0.0_4_4",draw_deck_3,1.01,"g_18_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('4', '4', 'J')_priv_('Q',)_2.0_4_4",take_discard_2,1.01,"g_19_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('10', '7', 'J')_priv_('Q',)_-0.5_4_4",draw_deck_3,1.01,"g_21_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '5', 'A')_priv_('2',)_-7.0_8_4",draw_deck_3,1.01,"g_22_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '8', '8')_priv_('10',)_-4.5_Q_4",draw_deck_2,1.01,"g_23_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('A', 'A', 'J')_priv_('8',)_5.5_J_4",take_discard_3,1.01,"g_24_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('J', 'J', 'K')_priv_('5',)_-6.0_9_4",draw_deck_2,1.01,"g_25_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('7', 'A', 'J')_priv_('K',)_1.5_3_4",take_discard_3,1.01,"g_26_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', 'A', 'J')_priv_('K',)_2.0_3_4",take_discard_3,1.01,"g_27_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '2', 'J')_priv_('10',)_2.0_4_4",take_discard_3,1.01,"g_28_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('9', '9', 'J')_priv_()_-4.5_Q_4",draw_deck_1,1.01,"g_29_r_4: {'type': 'draw_deck', 'position': 1, 'keep': True}"
