state,action,q_value,last_action
"pub_('7', 'A', 'J')_priv_('10',)_1.0_4_4",take_discard_3,1.919,"g_162_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('7', 'K', 'Q')_priv_('10',)_-0.5_3_4",take_discard_3,1.01,"g_1_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', 'J', 'K')_priv_('6',)_-2.0_5_4",take_discard_3,1.01,"g_3_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('J', 'Q', 'Q')_priv_('8',)_1.0_4_4",take_discard_3,1.01,"g_5_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('A', 'A', 'A')_priv_('7',)_-3.0_8_4",take_discard_3,1.01,"g_9_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', '6', '8')_priv_('Q',)_5.0_J_4",take_discard_3,1.01,"g_11_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '2', '8')_priv_('2',)_-5.0_6_4",draw_deck_2,1.01,"g_13_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('6', '8', 'J')_priv_('5',)_-4.5_7_4",take_discard_3,1.01,"g_14_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', 'K', 'Q')_priv_('10',)_-0.5_3_4",take_discard_3,1.01,"g_15_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '5', 'J')_priv_('5',)_-14.5_9_4",draw_deck_3,1.01,"g_21_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '7', 'K')_priv_('Q',)_-0.5_4_4",take_discard_3,1.01,"g_23_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', 'J', 'K')_priv_('3',)_-5.0_6_4",draw_deck_3,1.01,"g_24_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', '5', '8')_priv_('3',)_-2.5_4_4",take_discard_3,1.01,"g_26_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', '5', '6')_priv_('4',)_-7.5_K_4",take_discard_3,1.01,"g_27_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '3', '4')_priv_('7',)_13.0_10_4",take_discard_3,1.01,"g_28_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('8', '8', 'J')_priv_('6',)_-5.5_K_4",take_discard_3,1.01,"g_29_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '5', '9')_priv_('3',)_-7.0_8_4",take_discard_3,1.01,"g_30_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '3', 'K')_priv_('A',)_10.0_K_4",take_discard_3,1.01,"g_33_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', 'J', 'K')_priv_('8',)_-6.0_9_4",draw_deck_3,1.01,"g_35_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('10', '4', 'A')_priv_('6',)_0.5_2_4",take_discard_3,1.01,"g_37_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('A', 'J', 'J')_priv_('10',)_7.5_A_4",take_discard_3,1.01,"g_39_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', '7', 'J')_priv_('A',)_7.5_7_4",take_discard_3,1.01,"g_42_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', 'Q', 'Q')_priv_('6',)_8.0_4_4",take_discard_3,1.01,"g_44_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '4', '6')_priv_('8',)_-8.0_Q_4",take_discard_3,1.01,"g_45_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', '9', 'J')_priv_('Q',)_-2.5_7_4",draw_deck_3,1.01,"g_46_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('6', '9', 'A')_priv_('7',)_12.0_9_4",take_discard_3,1.01,"g_47_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '8', '8')_priv_('K',)_-2.0_6_4",draw_deck_3,1.01,"g_49_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('2', 'A', 'J')_priv_('3',)_-3.0_5_4",take_discard_3,1.01,"g_50_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', '8', 'J')_priv_('7',)_0.5_3_4",take_discard_3,1.01,"g_52_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', '7', 'J')_priv_('10',)_3.0_2_4",take_discard_3,1.01,"g_54_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', '7', 'J')_priv_('9',)_1.0_3_4",take_discard_3,1.01,"g_55_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', '6', 'J')_priv_('K',)_-4.5_9_4",draw_deck_3,1.01,"g_56_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '4', 'J')_priv_('K',)_-3.0_8_4",take_discard_3,1.01,"g_58_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', 'A', 'A')_priv_('5',)_-4.0_7_4",take_discard_3,1.01,"g_59_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', '6', '9')_priv_('2',)_-7.0_7_4",draw_deck_3,1.01,"g_61_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('3', '4', '5')_priv_('7',)_8.5_5_4",take_discard_3,1.01,"g_63_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('9', 'A', 'A')_priv_('10',)_-5.5_K_4",take_discard_3,1.01,"g_64_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', 'A', 'Q')_priv_('2',)_-3.5_4_4",take_discard_3,1.01,"g_65_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '10', '2')_priv_('3',)_2.5_J_4",take_discard_3,1.01,"g_66_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('A', 'Q', 'Q')_priv_('3',)_-3.5_6_4",take_discard_3,1.01,"g_68_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '4', 'J')_priv_('5',)_6.5_4_4",take_discard_3,1.01,"g_69_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', '7', 'K')_priv_('5',)_-5.5_J_4",take_discard_3,1.01,"g_70_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '10', '4')_priv_('7',)_-4.0_8_4",draw_deck_3,1.01,"g_72_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('7', 'K', 'Q')_priv_('3',)_-2.5_3_4",take_discard_3,1.01,"g_73_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('9', '9', 'J')_priv_('Q',)_3.5_2_4",take_discard_2,1.01,"g_74_r_4: {'type': 'take_discard', 'position': 2}"
"pub_('3', '4', '9')_priv_('2',)_-0.5_A_4",take_discard_3,1.01,"g_76_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', '8', 'A')_priv_('K',)_6.0_A_4",take_discard_3,1.01,"g_77_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', '5', '8')_priv_('J',)_4.0_5_4",take_discard_3,1.01,"g_78_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '8', 'Q')_priv_('2',)_-6.0_3_4",take_discard_3,1.01,"g_79_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '6', 'A')_priv_('6',)_4.0_10_4",take_discard_3,1.01,"g_80_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '10', 'J')_priv_('J',)_-6.0_6_4",take_discard_3,1.01,"g_81_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('7', '7', 'A')_priv_('3',)_-3.5_6_4",take_discard_3,1.01,"g_84_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('7', '7', '9')_priv_('6',)_2.5_A_4",take_discard_3,1.01,"g_85_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', '5', '7')_priv_('Q',)_-6.0_10_4",take_discard_3,1.01,"g_86_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '3', '8')_priv_('Q',)_0.0_4_4",take_discard_3,1.01,"g_87_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('9', 'Q', 'Q')_priv_('4',)_11.5_9_4",take_discard_3,1.01,"g_88_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', '9', '9')_priv_('J',)_-9.5_9_4",take_discard_3,1.01,"g_89_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', '7', 'A')_priv_('10',)_1.0_4_4",take_discard_3,1.01,"g_90_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('7', '9', 'J')_priv_('A',)_-2.0_2_4",take_discard_3,1.01,"g_94_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', 'J', 'Q')_priv_('6',)_-2.5_6_4",draw_deck_3,1.01,"g_95_r_4: {'type': 'draw_deck', 'position': 3, 'keep': True}"
"pub_('9', 'K', 'K')_priv_('5',)_-3.0_6_4",take_discard_3,1.01,"g_97_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '9', 'J')_priv_('8',)_1.0_3_4",take_discard_3,1.01,"g_98_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('6', '9', '9')_priv_('K',)_1.5_3_4",take_discard_3,1.01,"g_100_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', 'J', 'Q')_priv_('10',)_-4.0_8_4",take_discard_3,1.01,"g_103_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '5', 'K')_priv_('9',)_2.0_A_4",take_discard_3,1.01,"g_104_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', '9', 'A')_priv_('4',)_-3.0_5_4",take_discard_3,1.01,"g_105_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', '7', 'K')_priv_('3',)_3.0_2_4",take_discard_3,1.01,"g_107_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('4', '4', 'K')_priv_('K',)_-12.0_2_4",take_discard_3,1.01,"g_110_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('10', '6', 'K')_priv_('10',)_0.0_10_4",take_discard_3,1.01,"g_111_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('7', 'J', 'K')_priv_('10',)_0.5_3_4",take_discard_3,1.01,"g_112_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('2', 'J', 'Q')_priv_('5',)_-2.5_5_4",draw_deck_2,1.01,"g_113_r_4: {'type': 'draw_deck', 'position': 2, 'keep': True}"
"pub_('2', 'Q', 'Q')_priv_('Q',)_-5.0_10_4",take_discard_3,1.01,"g_114_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('7', 'Q', 'Q')_priv_('8',)_11.5_7_4",take_discard_3,1.01,"g_115_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('5', '8', 'A')_priv_('10',)_3.5_J_4",take_discard_3,1.01,"g_116_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('J', 'J', 'J')_priv_('A',)_-1.0_2_4",draw_deck_flip_3,1.01,"g_118_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
"pub_('3', '7', '9')_priv_('7',)_-7.0_J_4",take_discard_3,1.01,"g_119_r_4: {'type': 'take_discard', 'position': 3}"
"pub_('3', '6', 'Q')_priv_('Q',)_-20.0_10_4",draw_deck_flip_3,1.01,"g_126_r_4: {'type': 'draw_deck', 'keep': False, 'flip_position': 3}"
