state_key,action_key,action,game,round
"pub_('10', 'J', 'K')_priv_('Q',)_-3.0_6_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",13,4
"pub_()_priv_('5', 'J')_-9.0_9_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",14,1
"pub_('9',)_priv_('5', 'J')_-3.5_3_2",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",14,2
"pub_('3', '9')_priv_('J',)_-6.0_5_3",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",14,3
"pub_('3', '6', '9')_priv_()_3.5_J_4",take_discard_1,"{'type': 'take_discard', 'position': 1}",14,4
"pub_()_priv_('4', '7')_-5.0_8_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",15,1
"pub_('8',)_priv_('4', '7')_-6.5_9_2",take_discard_2,"{'type': 'take_discard', 'position': 2}",15,2
"pub_('8', '9')_priv_('7',)_-19.0_K_3",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",15,3
"pub_('7', '8', '9')_priv_()_-15.0_6_4",take_discard_1,"{'type': 'take_discard', 'position': 1}",15,4
"pub_()_priv_('9', 'J')_0.0_J_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",16,1
"pub_('J',)_priv_('9', 'J')_-6.0_6_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",16,2
"pub_('6', 'J')_priv_('9', 'J')_-10.5_K_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",16,3
"pub_('6', 'J', 'K')_priv_('9',)_3.5_J_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",16,4
"pub_()_priv_('10', '2')_-2.0_4_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",17,1
"pub_('4',)_priv_('10', '2')_-0.5_2_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",17,2
"pub_('2', '4')_priv_('10', '2')_-12.0_10_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",17,3
"pub_('10', '2', '4')_priv_('2',)_-10.5_8_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",17,4
"pub_()_priv_('4', '9')_-3.0_6_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",18,1
"pub_('6',)_priv_('4', '9')_2.5_J_2",take_discard_2,"{'type': 'take_discard', 'position': 2}",18,2
"pub_('6', 'J')_priv_('9',)_4.0_A_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",18,3
"pub_('6', 'A', 'J')_priv_('9',)_3.0_2_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",18,4
"pub_()_priv_('2', 'K')_-9.0_10_1",draw_deck_flip_2,"{'type': 'draw_deck', 'keep': False, 'flip_position': 2}",19,1
"pub_('2',)_priv_('K',)_-9.0_Q_2",take_discard_0,"{'type': 'take_discard', 'position': 0}",19,2
"pub_('2', 'Q')_priv_('K',)_-10.0_10_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",19,3
"pub_('10', '2', 'Q')_priv_('K',)_-4.0_7_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",19,4
"pub_()_priv_('6', 'A')_1.0_J_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",20,1
"pub_('J',)_priv_('6', 'A')_-2.0_3_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",20,2
"pub_('3', 'J')_priv_('6', 'A')_-9.5_Q_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",20,3
"pub_('3', 'J', 'Q')_priv_('A',)_-9.0_9_4",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",20,4
"pub_()_priv_('8', 'K')_0.0_2_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",21,1
"pub_('2',)_priv_('8', 'K')_-5.0_Q_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",21,2
"pub_('2', 'Q')_priv_('8', 'K')_-3.0_7_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",21,3
"pub_('2', '7', 'Q')_priv_('8',)_-0.5_3_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",21,4
"pub_()_priv_('10', '3')_-7.5_Q_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",22,1
"pub_('Q',)_priv_('10', '3')_0.5_A_2",draw_deck_flip_2,"{'type': 'draw_deck', 'keep': False, 'flip_position': 2}",22,2
"pub_('3', 'Q')_priv_('10',)_6.0_3_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",22,3
"pub_('3', '3', 'Q')_priv_('10',)_-1.5_6_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",22,4
"pub_()_priv_('10', 'A')_-9.0_10_1",draw_deck_flip_2,"{'type': 'draw_deck', 'keep': False, 'flip_position': 2}",23,1
"pub_('10',)_priv_('A',)_-6.5_7_2",take_discard_0,"{'type': 'take_discard', 'position': 0}",23,2
"pub_('10', '7')_priv_('A',)_7.5_7_3",take_discard_1,"{'type': 'take_discard', 'position': 1}",23,3
"pub_('10', '7', '7')_priv_('A',)_-1.5_2_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",23,4
"pub_()_priv_('10', 'K')_2.5_2_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",24,1
"pub_('2',)_priv_('10', 'K')_-1.5_7_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",24,2
"pub_('2', '7')_priv_('10', 'K')_-4.5_9_3",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",24,3
"pub_('2', '7', 'K')_priv_('10',)_-7.0_10_4",take_discard_2,"{'type': 'take_discard', 'position': 2}",24,4
"pub_()_priv_('7', 'J')_-3.0_3_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",25,1
"pub_('3',)_priv_('7', 'J')_-4.0_4_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",25,2
