state,action,q_value
"pub_()_priv_('10', 'A')_-2.5_5_1",7,0.009999999776482582
"pub_('7',)_priv_('10', 'A')_-4.5_8_2",3,0.009999999776482582
"pub_('3', '7')_priv_('A',)_-7.5_10_3",5,0.009999999776482582
"pub_('3', '7', '7')_priv_('A',)_-5.5_6_4",10,1.0099999904632568
"pub_()_priv_('A', 'Q')_-0.5_5_1",7,0.009999999776482582
"pub_('7',)_priv_('A', 'Q')_4.5_A_2",9,0.009999999776482582
"pub_('7', 'A')_priv_('A',)_-3.0_6_3",5,0.009999999776482582
"pub_('6', '7', 'A')_priv_('A',)_-9.5_8_4",10,1.0099999904632568
"pub_()_priv_('4', '8')_2.0_2_1",9,0.009999999776482582
"pub_('2',)_priv_('4',)_0.5_3_2",1,0.009999999776482582
"pub_('2', '3')_priv_('4',)_3.5_J_3",4,0.009999999776482582
"pub_('2', '3', 'J')_priv_('4',)_-7.5_Q_4",10,1.0099999904632568
"pub_('6',)_priv_('10',)_-14.5_9_2",3,0.009999999776482582
"pub_('6', 'Q')_priv_()_-4.5_8_3",7,0.009999999776482582
"pub_('5', '6', 'Q')_priv_()_-5.0_7_4",5,-0.49000000953674316
"pub_()_priv_('8', '9')_-6.5_10_1",3,0.009999999776482582
"pub_('J',)_priv_('8',)_4.5_J_2",3,0.009999999776482582
"pub_('J', 'J')_priv_()_-4.5_K_3",7,0.009999999776482582
"pub_('10', 'J', 'J')_priv_()_1.0_4_4",4,-0.1899999976158142
"pub_()_priv_('6', 'A')_-6.5_9_1",7,0.009999999776482582
"pub_('7',)_priv_('6', 'A')_-8.0_10_2",10,0.009999999776482582
"pub_('4', '7')_priv_('A',)_-14.0_Q_3",5,0.009999999776482582
"pub_('4', '7', '9')_priv_('A',)_-8.5_8_4",3,-0.49000000953674316
"pub_()_priv_('5', '8')_-7.0_10_1",7,0.009999999776482582
"pub_('7',)_priv_('5', '8')_1.0_A_2",3,0.009999999776482582
"pub_('7', 'A')_priv_('5',)_-6.5_8_3",5,0.009999999776482582
"pub_('2', '7', 'A')_priv_('5',)_-7.5_K_4",3,-0.1899999976158142
"pub_()_priv_('A', 'J')_-5.5_Q_1",7,0.009999999776482582
"pub_('K',)_priv_('A', 'J')_3.5_J_2",4,0.009999999776482582
"pub_('J', 'K')_priv_('A', 'J')_-8.5_9_3",10,0.009999999776482582
"pub_('4', 'J', 'K')_priv_('J',)_-4.0_3_4",3,1.0099999904632568
"pub_()_priv_('2', '8')_-3.5_3_1",7,0.009999999776482582
"pub_('8',)_priv_('2', '8')_-11.0_9_2",1,0.009999999776482582
"pub_('2', '8')_priv_('2', '8')_-9.0_7_3",6,0.009999999776482582
"pub_('2', '8', '8')_priv_('2',)_-7.0_5_4",5,1.0099999904632568
"pub_()_priv_('10', '2')_1.5_3_1",3,0.009999999776482582
"pub_('3',)_priv_('2',)_6.5_3_2",1,0.009999999776482582
"pub_('3', '3')_priv_('2',)_-2.0_6_3",5,0.009999999776482582
"pub_('3', '3', '6')_priv_('2',)_-1.5_3_4",3,1.0099999904632568
"pub_()_priv_('Q', 'Q')_-5.0_9_1",7,0.009999999776482582
"pub_('8',)_priv_('Q', 'Q')_-3.0_6_2",5,0.009999999776482582
"pub_('4', '8')_priv_('Q', 'Q')_-13.0_3_3",6,0.009999999776482582
"pub_('4', '8', 'Q')_priv_('Q',)_-15.0_5_4",5,-0.1899999976158142
"pub_()_priv_('5', '6')_-8.0_2_1",1,0.009999999776482582
"pub_('6',)_priv_('5', '6')_-6.5_K_2",5,0.009999999776482582
"pub_('6',)_priv_('5', '6')_-6.5_K_2",7,0.009999999776482582
"pub_('6', 'K')_priv_('5', '6')_-2.0_6_3",3,0.009999999776482582
"pub_('6', '8', 'K')_priv_('6',)_-8.5_2_4",10,-0.49000000953674316
"pub_()_priv_('3', '6')_-5.5_5_1",7,0.009999999776482582
"pub_('9',)_priv_('3', '6')_-8.0_Q_2",10,0.009999999776482582
"pub_('9', 'A')_priv_('3',)_-5.5_8_3",5,0.009999999776482582
"pub_('9', 'A', 'J')_priv_('3',)_-1.5_3_4",3,1.0099999904632568
"pub_()_priv_('4', '8')_-1.5_3_1",7,0.009999999776482582
"pub_('10',)_priv_('4', '8')_-7.5_K_2",3,0.009999999776482582
"pub_('10', '7')_priv_('4',)_1.5_J_3",4,0.009999999776482582
"pub_('10', '7', 'J')_priv_('4',)_12.0_10_4",3,1.0099999904632568
"pub_()_priv_('10', '7')_-7.0_K_1",10,0.009999999776482582
"pub_('2',)_priv_('7',)_-1.5_J_2",7,0.009999999776482582
"pub_('2', '9')_priv_('7',)_7.5_9_3",9,0.009999999776482582
"pub_('2', '9', '9')_priv_()_-9.0_7_4",1,1.0099999904632568
"pub_()_priv_('4', 'J')_0.5_A_1",1,0.009999999776482582
"pub_('A',)_priv_('4', 'J')_-6.0_10_2",5,0.009999999776482582
"pub_('A', 'J')_priv_('4', 'J')_-2.0_5_3",10,0.009999999776482582
"pub_('8', 'A', 'J')_priv_('J',)_-10.5_K_4",3,1.0099999904632568
"pub_()_priv_('10', 'J')_-6.0_K_1",7,0.009999999776482582
"pub_('6',)_priv_('10', 'J')_10.0_6_2",3,0.009999999776482582
"pub_('6', '6')_priv_('J',)_-5.5_K_3",5,0.009999999776482582
"pub_('6', '6', 'Q')_priv_('J',)_-8.0_7_4",3,-0.1899999976158142
"pub_('6', '6', 'Q')_priv_('J',)_-8.0_7_4",10,-0.1899999976158142
"pub_()_priv_('6', 'A')_8.0_6_1",1,0.009999999776482582
"pub_('6',)_priv_('6', 'A')_-3.0_7_2",5,0.009999999776482582
"pub_('4', '6')_priv_('6', 'A')_-9.5_10_3",10,0.009999999776482582
"pub_('4', '6', '9')_priv_('6',)_-11.0_5_4",3,1.0099999904632568
"pub_()_priv_('4', 'K')_1.5_3_1",9,0.009999999776482582
"pub_('3',)_priv_('4',)_-6.0_9_2",7,0.009999999776482582
"pub_('3', '8')_priv_('4',)_10.5_8_3",4,0.009999999776482582
"pub_('3', '8', '8')_priv_('4',)_-3.5_6_4",10,1.0099999904632568
"pub_()_priv_('4', 'A')_-5.5_9_1",7,0.01899999938905239
"pub_('K',)_priv_('4', 'A')_-3.5_6_2",5,0.009999999776482582
"pub_('10', 'K')_priv_('4', 'A')_-2.0_3_3",3,0.009999999776482582
"pub_('10', '6', 'K')_priv_('A',)_-8.0_7_4",10,-0.49000000953674316
"pub_()_priv_('10', '3')_-1.0_4_1",7,0.009999999776482582
"pub_('2',)_priv_('10', '3')_-6.5_9_2",5,0.009999999776482582
"pub_('2', 'A')_priv_('10', '3')_-3.0_7_3",10,0.009999999776482582
"pub_('2', '2', 'A')_priv_('3',)_3.5_A_4",9,1.0099999904632568
"pub_()_priv_('4', 'K')_-3.0_7_1",7,0.009999999776482582
"pub_('5',)_priv_('4', 'K')_-5.5_9_2",5,0.009999999776482582
"pub_('5', '7')_priv_('4', 'K')_10.0_7_3",3,0.009999999776482582
"pub_('5', '7', '7')_priv_('4',)_1.5_A_4",9,0.009999999776482582
"pub_()_priv_('2', '6')_2.5_A_1",3,0.009999999776482582
"pub_('A',)_priv_('2',)_-6.0_K_2",7,0.009999999776482582
"pub_('A', 'A')_priv_('2',)_-3.0_7_3",5,0.009999999776482582
"pub_('10', 'A', 'A')_priv_('2',)_1.0_J_4",9,0.009999999776482582
"pub_()_priv_('Q', 'Q')_-6.0_7_1",7,0.009999999776482582
"pub_('5',)_priv_('Q', 'Q')_8.5_5_2",4,0.009999999776482582
"pub_('5', '5')_priv_('Q', 'Q')_-20.0_K_3",6,0.009999999776482582
"pub_('5', '5', 'Q')_priv_('Q',)_-19.0_9_4",5,1.0099999904632568
"pub_()_priv_('J', 'Q')_-4.0_8_1",7,0.009999999776482582
"pub_('6',)_priv_('J', 'Q')_-1.0_5_2",3,0.009999999776482582
"pub_('6', '8')_priv_('J',)_11.0_8_3",4,0.009999999776482582
"pub_('6', '8', '8')_priv_('J',)_-2.5_2_4",10,-0.49000000953674316
"pub_()_priv_('K', 'K')_-6.0_9_1",7,0.009999999776482582
"pub_('J',)_priv_('K', 'K')_-6.0_Q_2",5,0.009999999776482582
"pub_('6', 'J')_priv_('K', 'K')_-14.0_4_3",6,0.009999999776482582
"pub_('6', 'J', 'K')_priv_('K',)_-17.0_7_4",5,1.0099999904632568
"pub_()_priv_('4', 'K')_-15.5_10_1",8,0.009999999776482582
"pub_('K',)_priv_('4', 'K')_-9.5_K_2",1,0.009999999776482582
"pub_('4', 'K')_priv_('4', 'K')_-6.0_2_3",6,0.009999999776482582
"pub_('4', '4', 'K')_priv_('K',)_-18.0_8_4",5,1.0099999904632568
"pub_()_priv_('6', '7')_-7.0_10_1",3,0.009999999776482582
"pub_('10',)_priv_('6',)_3.0_J_2",3,0.009999999776482582
"pub_('10', 'J')_priv_()_15.0_10_3",1,0.009999999776482582
"pub_('10', '10', 'J')_priv_()_3.0_2_4",4,1.0099999904632568
"pub_()_priv_('2', '4')_-7.0_Q_1",7,0.009999999776482582
"pub_('8',)_priv_('2', '4')_6.5_4_2",4,0.009999999776482582
"pub_('4', '8')_priv_('2', '4')_-1.0_2_3",3,0.009999999776482582
"pub_('4', '8', 'K')_priv_('4',)_-5.0_J_4",10,-0.49000000953674316
"pub_()_priv_('5', '6')_-14.0_9_1",7,0.009999999776482582
"pub_('A',)_priv_('5', '6')_-5.5_4_2",5,0.009999999776482582
"pub_('A', 'A')_priv_('5', '6')_-3.5_7_3",10,0.009999999776482582
"pub_('A', 'A', 'K')_priv_('5',)_1.0_2_4",9,-0.1899999976158142
"pub_()_priv_('3', '7')_4.0_J_1",3,0.009999999776482582
"pub_('J',)_priv_('3',)_0.0_4_2",1,0.009999999776482582
"pub_('4', 'J')_priv_('3',)_-6.5_Q_3",5,0.009999999776482582
"pub_('2', '4', 'J')_priv_('3',)_-8.0_K_4",3,-0.1899999976158142
"pub_()_priv_('2', '9')_-8.0_K_1",7,0.009999999776482582
"pub_('10',)_priv_('2', '9')_13.0_10_2",9,0.009999999776482582
"pub_('10', '10')_priv_('2',)_-6.5_9_3",5,0.009999999776482582
"pub_('10', '10', '6')_priv_('2',)_-6.0_7_4",10,1.0099999904632568
"pub_()_priv_('4', '6')_-4.0_J_1",7,0.009999999776482582
"pub_('2',)_priv_('4', '6')_-12.0_8_2",5,0.009999999776482582
"pub_('2', '7')_priv_('4', '6')_4.5_2_3",9,0.009999999776482582
"pub_('2', '2', '7')_priv_('4',)_1.0_2_4",3,1.0099999904632568
"pub_()_priv_('K', 'Q')_-7.0_9_1",3,0.009999999776482582
"pub_('10',)_priv_('Q',)_-0.5_Q_2",10,0.009999999776482582
"pub_('10', 'K')_priv_()_0.0_K_3",1,0.009999999776482582
"pub_('10', 'K', 'K')_priv_()_-15.0_5_4",1,1.0099999904632568
"pub_()_priv_('2', '5')_-8.0_6_1",7,0.009999999776482582
"pub_('J',)_priv_('2', '5')_-4.5_8_2",5,0.009999999776482582
"pub_('A', 'J')_priv_('2', '5')_-6.5_10_3",3,0.009999999776482582
"pub_('7', 'A', 'J')_priv_('2',)_-2.0_3_4",10,-0.49000000953674316
"pub_()_priv_('7', 'J')_-16.0_K_1",1,0.009999999776482582
"pub_('7',)_priv_('7', 'J')_-4.0_6_2",7,0.009999999776482582
"pub_('4', '7')_priv_('7', 'J')_-1.5_A_3",3,0.009999999776482582
"pub_('2', '4', '7')_priv_('7',)_-7.0_J_4",6,1.0099999904632568
"pub_()_priv_('4', 'K')_-2.0_4_1",1,0.009999999776482582
"pub_('K',)_priv_('4', 'K')_7.5_4_2",1,0.009999999776482582
"pub_('4', 'K')_priv_('4', 'K')_-10.0_6_3",6,0.009999999776482582
"pub_('4', 'K', 'K')_priv_('4',)_-14.0_K_4",5,1.0099999904632568
"pub_()_priv_('7', 'Q')_-11.0_8_1",3,0.009999999776482582
"pub_('Q',)_priv_('7',)_4.5_Q_2",3,0.009999999776482582
"pub_('Q', 'Q')_priv_()_-0.5_5_3",7,0.009999999776482582
"pub_('8', 'Q', 'Q')_priv_()_4.5_J_4",4,1.0099999904632568
"pub_()_priv_('8', '9')_-16.0_K_1",10,0.009999999776482582
"pub_('A',)_priv_('8',)_4.5_A_2",9,0.009999999776482582
