state_key,action_key,action,game,round
"pub_()_priv_('10', '3')_-7.5_K_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",1,1
"pub_('K',)_priv_('10', '3')_-8.5_Q_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",1,2
"pub_('K', 'Q')_priv_('10', '3')_-6.0_7_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",1,3
"pub_('7', 'K', 'Q')_priv_('10',)_-0.5_3_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",1,4
"pub_()_priv_('2', '8')_1.0_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",2,1
"pub_('A',)_priv_('2', '8')_-4.5_6_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",2,2
"pub_('6', 'A')_priv_('2', '8')_-8.5_Q_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",2,3
"pub_('6', 'A', 'Q')_priv_('2',)_1.5_A_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",2,4
"pub_()_priv_('6', 'Q')_-4.0_4_1",draw_deck_flip_1,"{'type': 'draw_deck', 'keep': False, 'flip_position': 1}",3,1
"pub_('J',)_priv_('6', 'Q')_-3.5_7_2",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",3,2
"pub_('2', 'J')_priv_('6', 'Q')_-6.0_K_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",3,3
"pub_('2', 'J', 'K')_priv_('6',)_-2.0_5_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",3,4
"pub_()_priv_('3', '7')_-3.0_4_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",4,1
"pub_('4',)_priv_('3', '7')_0.0_2_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",4,2
"pub_('2', '4')_priv_('3', '7')_-4.0_6_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",4,3
"pub_('2', '4', '6')_priv_('7',)_0.5_3_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",4,4
"pub_()_priv_('8', '9')_-5.5_Q_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",5,1
"pub_('Q',)_priv_('8', '9')_3.5_J_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",5,2
"pub_('J', 'Q')_priv_('8', '9')_14.0_Q_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",5,3
"pub_('J', 'Q', 'Q')_priv_('8',)_1.0_4_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",5,4
"pub_()_priv_('7', 'J')_-6.0_6_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",6,1
"pub_('6',)_priv_('7', 'J')_-3.5_3_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",6,2
"pub_('3', '6')_priv_('7', 'J')_2.5_3_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",6,3
"pub_('3', '3', '6')_priv_('J',)_-7.5_7_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",6,4
"pub_()_priv_('7', '9')_0.0_3_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",7,1
"pub_('3',)_priv_('7', '9')_-6.0_9_2",take_discard_1,"{'type': 'take_discard', 'position': 1}",7,2
"pub_('3', '9')_priv_('7', '9')_-19.0_10_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",7,3
"pub_('10', '3', '9')_priv_('9',)_-16.0_7_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",7,4
