state_key,action_key,action,game,round
"pub_()_priv_('2', 'A')_-3.0_4_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",1,1
"pub_('4',)_priv_('2', 'A')_-7.5_8_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",1,2
"pub_('4', '6')_priv_('2', 'A')_-7.0_7_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",1,3
"pub_('2', '4', '6')_priv_('A',)_2.0_2_4",take_discard_3,"{'type': 'take_discard', 'position': 3}",1,4
"pub_()_priv_('J', 'K')_-4.0_4_1",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",2,1
"pub_('J',)_priv_('K',)_-1.0_2_2",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",2,2
"pub_('4', 'J')_priv_('K',)_-6.5_7_3",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",2,3
"pub_('10', '4', 'J')_priv_('K',)_4.5_J_4",take_discard_2,"{'type': 'take_discard', 'position': 2}",2,4
"pub_()_priv_('10', '7')_-10.0_K_1",draw_deck_flip_1,"{'type': 'draw_deck', 'keep': False, 'flip_position': 1}",3,1
"pub_('J',)_priv_('10', '7')_-8.0_K_2",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",3,2
"pub_('3', 'J')_priv_('10', '7')_-5.5_K_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",3,3
"pub_('3', 'J', 'Q')_priv_('10',)_-6.5_K_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",3,4
"pub_()_priv_('J', 'Q')_-10.0_Q_1",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",4,1
"pub_('J',)_priv_('Q',)_3.0_A_2",take_discard_0,"{'type': 'take_discard', 'position': 0}",4,2
"pub_('A', 'J')_priv_('Q',)_-3.0_7_3",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",4,3
"pub_('7', 'A', 'J')_priv_('Q',)_1.0_4_4",take_discard_2,"{'type': 'take_discard', 'position': 2}",4,4
"pub_()_priv_('3', 'A')_0.0_J_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",5,1
"pub_('J',)_priv_('3', 'A')_-2.0_3_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",5,2
"pub_('9', 'J')_priv_('3', 'A')_-4.0_4_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",5,3
"pub_('2', '9', 'J')_priv_('A',)_-7.0_7_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",5,4
"pub_()_priv_('8', '9')_-9.0_Q_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",6,1
"pub_('6',)_priv_('8', '9')_-1.5_2_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",6,2
"pub_('6', 'J')_priv_('8', '9')_3.5_A_3",take_discard_2,"{'type': 'take_discard', 'position': 2}",6,3
"pub_('6', 'A', 'J')_priv_('9',)_-3.5_8_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",6,4
"pub_()_priv_('8', '9')_1.5_A_1",take_discard_0,"{'type': 'take_discard', 'position': 0}",7,1
"pub_('A',)_priv_('8', '9')_-7.5_Q_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",7,2
"pub_('4', 'A')_priv_('8', '9')_-5.5_Q_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",7,3
"pub_('4', 'A', 'K')_priv_('8',)_-6.0_9_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",7,4
"pub_()_priv_('2', '5')_-8.0_Q_1",draw_deck_0,"{'type': 'draw_deck', 'position': 0, 'keep': True}",8,1
"pub_('8',)_priv_('2', '5')_-9.0_10_2",draw_deck_1,"{'type': 'draw_deck', 'position': 1, 'keep': True}",8,2
"pub_('8', '9')_priv_('2', '5')_-7.0_7_3",draw_deck_2,"{'type': 'draw_deck', 'position': 2, 'keep': True}",8,3
"pub_('3', '8', '9')_priv_('5',)_-0.5_2_4",draw_deck_3,"{'type': 'draw_deck', 'position': 3, 'keep': True}",8,4
"pub_()_priv_('4', 'J')_-9.0_9_1",draw_deck_flip_3,"{'type': 'draw_deck', 'keep': False, 'flip_position': 3}",9,1
